step,time,event_type,selected_rule,masked,travel,charging,tardiness,waiting,conflict_wait,rejection,standby,total
76,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
77,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
78,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
79,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
80,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
81,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
82,0.0,DEADLOCK_RISK,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
83,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
84,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
85,0.0,DEADLOCK_RISK,8,True,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
86,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
87,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,4.800000000000001,0.0,1.5,6.300000000000001
88,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
89,0.0,DEADLOCK_RISK,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
90,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
91,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
92,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
93,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
94,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
95,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
96,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
97,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.2,0.0,1.5,1.7
98,0.0,DEADLOCK_RISK,8,True,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
99,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
100,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.2,0.0,1.5,1.7
101,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,1.7000000000000002,0.0,1.5,3.2
102,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,1.7000000000000002,0.0,1.5,3.2
103,0.0,DEADLOCK_RISK,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
104,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
105,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
106,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,32.46561424412607,0.0,1.5,33.96561424412607
107,0.0,DEADLOCK_RISK,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
108,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
109,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,32.46561424412607,0.0,1.5,33.96561424412607
110,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,1.8,0.0,1.5,3.3
111,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
112,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
113,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
114,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
115,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
116,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
117,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
118,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
119,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
120,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
121,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
122,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
123,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
124,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
125,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
126,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
127,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
128,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
129,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
130,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
