step,time,event_type,selected_rule,masked,travel,charging,tardiness,waiting,conflict_wait,rejection,standby,total
73,0.0,CHARGE_DONE,7,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,CHARGE_DONE,6,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,CHARGE_DONE,6,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,CHARGE_DONE,6,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,CHARGE_DONE,6,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,CHARGE_DONE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
79,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,6.75,ROBOT_IDLE,8,False,135.0,0.0,0.0,0.0,9.148874710006885,0.0,1.5,152.39887471000688
81,0.0,CHARGE_DONE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
82,6.046693311223919,ROBOT_IDLE,6,True,120.93386622447815,18.280159867343478,0.0,0.0,0.0,0.0,0.0,145.26071940304556
83,0.0,ROBOT_IDLE,6,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,6.046693311223919,CHARGE_DONE,8,False,120.93386622447815,0.0,0.0,0.0,11.70576763709098,0.0,1.5,140.18632717279306
85,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,4.9,0.0,1.5,6.4
87,6.046693311223908,ROBOT_IDLE,8,False,120.93386622447838,0.0,0.0,0.0,10.348568833576543,0.0,1.5,138.82912836927883
88,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,CHARGE_DONE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
90,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
