step,time,event_type,selected_rule,masked,travel,charging,tardiness,waiting,conflict_wait,rejection,standby,total
99,2.3876369765390337,TASK_ARRIVAL,1,False,47.752739530781426,0.0,0.0,0.0,0.0,0.0,0.0,50.14037650732046
100,1.0607057531983173,ROBOT_IDLE,8,True,21.214115063966645,0.0,0.0,0.0,0.0,0.0,1.5,23.77482081716496
101,0.0,DEADLOCK_RISK,8,True,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
102,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,20.200000000000003,0.0,1.5,21.700000000000003
103,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
104,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
105,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
106,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
107,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
108,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
109,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
110,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
111,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
112,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
113,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
114,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
115,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
116,0.0,DEADLOCK_RISK,8,True,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
117,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,26.124171364868676,0.0,1.5,27.624171364868676
118,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
119,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.2,0.0,1.5,1.7
120,0.0,ROBOT_IDLE,8,True,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
121,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
122,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
123,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
124,0.0,ROBOT_IDLE,9,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
125,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
126,0.0,ROBOT_IDLE,8,False,0.0,0.0,0.0,0.0,0.1,0.0,1.5,1.6
